order_id,order_code,customer,product_name,quantity,scraped_at
522196,SO16072025:0932389,Shopee,Larita Juden MG0624_20 S Blue,1,2025-07-17T02:52:35.628018
522196,SO16072025:0932389,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628018
522196,SO16072025:0932389,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628018
522194,SO16072025:0932387,Nguyễn Minh Thư,Larita Gin AH0225_24 M Yellow,1,2025-07-17T02:52:35.628050
522194,SO16072025:0932387,Nguyễn Minh Thư,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628050
522194,SO16072025:0932387,Nguyễn Minh Thư,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628050
522192,SO16072025:0932385,Tiktok,Larita Aly MG0524_24 M Black,1,2025-07-17T02:52:35.628061
522192,SO16072025:0932385,Tiktok,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628061
522192,SO16072025:0932385,Tiktok,The Travel Star Matte Cover_24 M Black,1,2025-07-17T02:52:35.628061
522193,SO16072025:0932386,Shopee,Larita Juden MG0624_24 M Pink,1,2025-07-17T02:52:35.628070
522193,SO16072025:0932386,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628070
522193,SO16072025:0932386,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628070
522187,SO16072025:0932380,Tiktok,Larita Aly MG0524_24 M Yellow,1,2025-07-17T02:52:35.628078
522187,SO16072025:0932380,Tiktok,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628078
522187,SO16072025:0932380,Tiktok,The Travel Star Matte Cover_24 M Black,1,2025-07-17T02:52:35.628078
522179,SO16072025:0932372,Tiktok,Larita Aly MG0524_24 M Blue,1,2025-07-17T02:52:35.628086
522179,SO16072025:0932372,Tiktok,The Travel Star Matte Cover_24 M Black,1,2025-07-17T02:52:35.628086
522179,SO16072025:0932372,Tiktok,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628086
522195,SO16072025:0932388,Shopee,Larita Rota MG0324_20 S Black,1,2025-07-17T02:52:35.628105
522195,SO16072025:0932388,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628105
522195,SO16072025:0932388,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628105
522182,SO16072025:0932375,Shopee,Larita Zeni LK0325_24 M Red,1,2025-07-17T02:52:35.628113
522182,SO16072025:0932375,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628113
522182,SO16072025:0932375,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628113
522174,SO16072025:0932367,Ngọc Hằng,Larita Yuno AH0325_20 S Dark Blue,1,2025-07-17T02:52:35.628120
522174,SO16072025:0932367,Ngọc Hằng,Mia Gối Hơi Du Lịch Gấp Gọn S Orange,1,2025-07-17T02:52:35.628120
522191,SO16072025:0932384,Shopee,Larita Zeni LK0325_19 S Light Blue,1,2025-07-17T02:52:35.628127
522191,SO16072025:0932384,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628127
522191,SO16072025:0932384,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628127
522170,SO16072025:0932363,Giềng Síu Minh,Larita Manzo AH0724_28 L Dark Blue,1,2025-07-17T02:52:35.628134
522184,SO16072025:0932377,Shopee,Larita Miyo AH01252_24 M Mint,1,2025-07-17T02:52:35.628141
522184,SO16072025:0932377,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628141
522184,SO16072025:0932377,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628141
522183,SO16072025:0932376,Shopee,Larita Rota MG0324_28 L Mint,1,2025-07-17T02:52:35.628149
522183,SO16072025:0932376,Shopee,Mia Luggage Tag S Orange,1,2025-07-17T02:52:35.628149
522183,SO16072025:0932376,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628149
522186,SO16072025:0932379,Shopee,Larita Rota MG0324_20 S Pink,1,2025-07-17T02:52:35.628156
522186,SO16072025:0932379,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-17T02:52:35.628156
